City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
417,Constitucion,CL,57.78,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
418,Chimore,BO,69.55,broken clouds,-16.9833,-65.1333,Bichito
419,Port Hueneme,US,58.57,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
422,Hokitika,NZ,60.96,moderate rain,-42.7167,170.9667,Beachfront Hotel Hokitika
423,Scottsbluff,US,53.83,broken clouds,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
426,Huarmey,PE,70.43,overcast clouds,-10.0681,-78.1522,Hotel Miramar
430,Embonas,GR,44.83,clear sky,36.2269,27.8564,Hotel Ataviros
431,Rocha,UY,52.18,clear sky,-34.4833,-54.3333,Hotel Arrarte
432,Yuanping,CN,51.08,overcast clouds,38.7153,112.7575,Yuanping Xinghe Guesthouse
433,Kirando,TZ,76.28,light rain,-7.4167,30.6,Lakeshore Lodge
435,Babu,CN,79.03,overcast clouds,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
439,Port Macquarie,AU,76.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
441,Heze,CN,50.11,overcast clouds,35.2431,115.4411,Hanting Express Heze North Mudang Road University Town
442,Pimentel,PE,70.47,overcast clouds,-6.8367,-79.9342,Hotel Puerto del Sol
446,Angol,CL,51.21,few clouds,-37.8,-72.7167,Hostal Gina
450,Zhaotong,CN,59.0,scattered clouds,27.3167,103.7167,Jingguan Home
458,Santa Isabel Do Rio Negro,BR,72.41,light rain,-0.4139,-65.0192,Hotel GSA
459,Mpongwe,ZM,68.67,clear sky,-13.5091,28.155,Casablanca guest house and bar
460,Mega,ET,72.77,overcast clouds,4.05,38.3,Amanuel Guest House
467,Ancud,CL,56.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
469,Behshahr,IR,47.26,overcast clouds,36.6923,53.5526,Abbas Abad Hotel & Restaurant
472,Stornoway,GB,44.56,clear sky,58.2093,-6.3865,Caladh Inn
